title,price,availability,star_rating,description,category
"Fables, Vol. 1: Legends in Exile (Fables #1)",Â£41.62,In stock (15 available),4,"When a savage creature known only as the Adversary conquered the fabled lands of legends and fairy tales, all of the infamous inhabitants of folklore were forced into exile. Disguised among the normal citizens of modern-day New York, these magical characters have created their own peaceful and secret society within an exclusive luxury apartment building called Fabletown. B When a savage creature known only as the Adversary conquered the fabled lands of legends and fairy tales, all of the infamous inhabitants of folklore were forced into exile. Disguised among the normal citizens of modern-day New York, these magical characters have created their own peaceful and secret society within an exclusive luxury apartment building called Fabletown. But when Snow White's party-girl sister, Rose Red, is apparently murdered, it is up to Fabletown's sheriff, a reformed and pardoned Big Bad Wolf (Bigby Wolf), to determine if the killer is Bluebeard, Rose's ex-lover and notorious wife killer, or Jack, her current live-in boyfriend and former beanstalk-climber.Collecting FABLES #1-5. ...more",Sequential Art
Batman: The Dark Knight Returns (Batman),Â£15.38,In stock (15 available),5,"This masterpiece of modern comics storytelling brings to vivid life a dark world and an even darker man. Together with inker Klaus Janson and colorist Lynn Varley, writer/artist Frank Miller completely reinvents the legend of Batman in his saga of a near-future Gotham City gone to rot, ten years after the Dark Knight's retirement. Crime runs rampant in the streets, and the This masterpiece of modern comics storytelling brings to vivid life a dark world and an even darker man. Together with inker Klaus Janson and colorist Lynn Varley, writer/artist Frank Miller completely reinvents the legend of Batman in his saga of a near-future Gotham City gone to rot, ten years after the Dark Knight's retirement. Crime runs rampant in the streets, and the man who was Batman is still tortured by the memories of his parents' murders. As civil society crumbles around him, Bruce Wayne's long-suppressed vigilante side finally breaks free of its self-imposed shackles. The Dark Knight returns in a blaze of fury, taking on a whole new generation of criminals and matching their level of violence. He is soon joined by this generation's Robin â a girl named Carrie Kelley, who proves to be just as invaluable as her predecessors.But can Batman and Robin deal with the threat posed by their deadliest enemies, after years of incarceration have made them into perfect psychopaths? And more important, can anyone survive the coming fallout of an undeclared war between the superpowers - or a clash of what were once the world's greatest superheroes?Over fifteen years after its debut, 'Batman: The Dark Knight Returns' remains an undisputed classic and one of the most influential stories ever told in the comics medium.Collecting BATMAN: THE DARK KNIGHT RETURNS #1-4 ...more",Sequential Art
"Wonder Woman: Earth One, Volume One (Wonder Woman: Earth One #1)",Â£37.34,In stock (14 available),4,"Following the New York Times #1 bestselling original graphic novels Batman: Earth One, Volume One and Superman: Earth One Volumes One and Two comes Wonder Woman: Earth One, Volume One!Critically acclaimed, best-selling writer Grant Morrison (All-Star Superman, Batman, Inc.) once again pushes the boundaries of the graphic novel page in his mind-bending new take on the most Following the New York Times #1 bestselling original graphic novels Batman: Earth One, Volume One and Superman: Earth One Volumes One and Two comes Wonder Woman: Earth One, Volume One!Critically acclaimed, best-selling writer Grant Morrison (All-Star Superman, Batman, Inc.) once again pushes the boundaries of the graphic novel page in his mind-bending new take on the most powerful woman in the DC Universe. With stunning art by Yanick Paquette (Swamp Thing), Wonder Woman: Earth One, Volume One is an easily accessible jumping on point for new readers. ...more",Sequential Art
Superman Vol. 1: Before Truth (Superman by Gene Luen Yang #1),Â£11.89,In stock (14 available),5,"Superman is going through some changes. First, there's his new ""solar flare"" power, which releases tremendous amounts of energy but leaves him functionally human - fragile, vulnerable, prone to hangovers - for 24 hours.But an even bigger change is coming. A new company called Hordr has sprung up, and its business is secrets. If you have one that you want to keep hidden, Hr Superman is going through some changes. First, there's his new ""solar flare"" power, which releases tremendous amounts of energy but leaves him functionally human - fragile, vulnerable, prone to hangovers - for 24 hours.But an even bigger change is coming. A new company called Hordr has sprung up, and its business is secrets. If you have one that you want to keep hidden, Hrdr can control you - and no one has a bigger secret than Clark Kent.Now, Hordr is threatening to expose Clark's alter ego unless he does everything they command. Will Superman play into the hands of blackmailers to keep his loved ones out of danger? And if the truth that Superman has been hiding is exposed, will it set him free - or ruin his life?A new era for the Man of Steel begins here - crafted by National Book Award nominee Gene Luen Yang (American Born Chinese) and legendary artists John Romita Jr. (Kick-Ass, The Amazing Spider-Man) and Klaus Janson (BATMAN: THE DARK KNIGHT RETURNS). Collects issues #40-44 and the 8-page Superman story from DIVERGENCE: FCBD SPECIAL EDITION #1. ...more",Sequential Art
"So Cute It Hurts!!, Vol. 6 (So Cute It Hurts!! #6)",Â£35.43,In stock (14 available),4,"The Kobayashi twins, Megumu and Mitsuru, were named after historical figures, but only Megumu has grown up with a taste for history. So when Mitsuru is in danger of losing his weekends to extra history classes, he convinces his sister to swap clothes with him and ace his tests! After all, how hard can it be for them to play each other?Megumu is considering a career as a ma The Kobayashi twins, Megumu and Mitsuru, were named after historical figures, but only Megumu has grown up with a taste for history. So when Mitsuru is in danger of losing his weekends to extra history classes, he convinces his sister to swap clothes with him and ace his tests! After all, how hard can it be for them to play each other?Megumu is considering a career as a manga artist, but as Mitsuru so helpfully points out, her drawing skills could use a lot of improvement. That doesnât dim her enthusiasm, and she vows to practice drawing every day. But her first sketching session in a park is interrupted by an intense young man who goes ballistic when he sees the portrait of Aoi in her sketchbook! Who is this stranger, and why does he want to destroy her boyfriend?! ...more",Sequential Art
El Deafo,Â£57.62,In stock (14 available),5,"Starting at a new school is scary, even more so with a giant hearing aid strapped to your chest! At her old school, everyone in Cece's class was deaf. Here she is different. She is sure the kids are staring at the Phonic Ear, the powerful aid that will help her hear her teacher. Too bad it also seems certain to repel potential friends. Then Cece makes a startling discovery Starting at a new school is scary, even more so with a giant hearing aid strapped to your chest! At her old school, everyone in Cece's class was deaf. Here she is different. She is sure the kids are staring at the Phonic Ear, the powerful aid that will help her hear her teacher. Too bad it also seems certain to repel potential friends. Then Cece makes a startling discovery. With the Phonic Ear she can hear her teacher not just in the classroom, but anywhere her teacher is in school--in the hallway...in the teacher's lounge...in the bathroom! This is power. Maybe even superpower! Cece is on her way to becoming El Deafo, Listener for All. But the funny thing about being a superhero is that it's just another way of feeling different... and lonely. Can Cece channel her powers into finding the thing she wants most, a true friend?This funny perceptive graphic novel memoir about growing up hearing impaired is also an unforgettable book about growing up, and all the super and super embarrassing moments along the way. ...more",Sequential Art
"Fruits Basket, Vol. 9 (Fruits Basket #9)",Â£33.95,In stock (9 available),4,"Finally - summer has arrived! While Tohru struggles through bipolar days of hope and anxiety, what will happen when Yuki comes face-to-face with the new member of the student council? Meanwhile, who is that Uo-chan's hanging out with? Is she c-r-a-z-y in love? In a bonus feature, Hana-chan's past is finally disclosed!",Sequential Art
Roller Girl,Â£14.10,In stock (8 available),5,"For fans of Raina Telgemeierâs Smile, a heartwarming graphic novel about friendship and surviving junior high through the power of roller derby. Twelve-year-old Astrid has always done everything with her best friend Nicole. So when Astrid signs up for roller derby camp, she assumes Nicole will too. But Nicole signs up for dance camp with a new friend instead, and so begins For fans of Raina Telgemeierâs Smile, a heartwarming graphic novel about friendship and surviving junior high through the power of roller derby. Twelve-year-old Astrid has always done everything with her best friend Nicole. So when Astrid signs up for roller derby camp, she assumes Nicole will too. But Nicole signs up for dance camp with a new friend instead, and so begins the toughest summer of Astrid's life. There are bumps and bruises as Astrid learns who she is without Nicole...and what it takes to be a strong, tough roller girl. ...more",Sequential Art
"Fruits Basket, Vol. 6 (Fruits Basket #6)",Â£20.96,In stock (6 available),4,"Delving into the recesses of Kyo's past, we find the Sohma trio returning home on a rainy day. There, a mysterious man who has known Kyo for a long time meets them. Trust, loyalty and the bonds of family and friendship are tested, as Tohru must help Kyo deal with the ""monsters"" that he's been trying to avoid.",Sequential Art
"Fruits Basket, Vol. 4 (Fruits Basket #4)",Â£50.44,In stock (4 available),4,"When the infamous Akito makes an in-class appearance at the start of the school year, the Sohma family worries that his arrival will be an uncensored exercise of show-and-tell about Yuki's past. Meanwhile, when Ayame vows to rekindle his brother's lost friendship, he begins to realize that you can choose your friends but you can't choose your family - especially when they' When the infamous Akito makes an in-class appearance at the start of the school year, the Sohma family worries that his arrival will be an uncensored exercise of show-and-tell about Yuki's past. Meanwhile, when Ayame vows to rekindle his brother's lost friendship, he begins to realize that you can choose your friends but you can't choose your family - especially when they're acting like animals! ...more",Sequential Art
