title,url,price
Apple Macbook Air 13 inch 2025 MW123ZA/A M4 Chip 10c CPU 8c GPU 16GB/256GB SSD Midnight,https://zoommer.ge/leptopebi/apple-macbook-air-13-inch-2025-mw123za-a-m4-chip-10c-cpu-8c-gpu-16gb-256gb-ssd-mi-p46927,3549
Acer Aspire Lite 14 AL14-52M-53QS NX.J9JER.001 Silver,https://zoommer.ge/leptopebi/acer-aspire-lite-14-al14-52m-53qs-nx-j9jer-001-silver-p46785,1599
Acer Swift Lite 14 SFL14-53M-525K NX.J58ER.001 Silver,https://zoommer.ge/leptopebi/acer-swift-lite-14-sfl14-53m-525k-nx-j58er-001-silver-p46784,1899
Acer Aspire Lite 16 AL16-52P-50CK NX.J5SER.001 Silver,https://zoommer.ge/leptopebi/acer-aspire-lite-16-al16-52p-50ck-nx-j5ser-001-silver-p46783,1549
"Lenovo ThinkBook 14 G6 21KG00XCRU, Intel Core i5-13420H, Intel UHD Graphics, 16GB RAM SSD 512GB, Free Dos, ლეპტოპი",https://zoommer.ge/leptopebi/lenovo-thinkbook-14-g6-21kg00xcru-intel-core-i5-13420h-intel-uhd-graphics-16gb-p46763,2199
"Lenovo V15 G4 83A100QFRU, Intel Core i7-13620H, Intel UHD Graphics, 16GB RAM SSD 512GB, Free Dos, ლეპტოპი",https://zoommer.ge/leptopebi/lenovo-v15-g4-83a100qfru-intel-core-i7-13620h-intel-uhd-graphics-16gb-ram-ssd-p46761,1999
Apple MacBook Air 15.3 inch 2025 MC7D4ZP/A M4 Chip 10c CPU 10c GPU 24GB/512GB SSD Sky Blue,https://zoommer.ge/leptopebi/apple-macbook-air-15-3-inch-2025-mc7d4zp-a-m4-chip-10c-cpu-10c-gpu-24gb-512gb-ssd-p46756,5899
Apple MacBook Air 15.3 inch 2025 MC6J4ZP/A M4 Chip 10c CPU 10c GPU 24GB/512GB SSD Silver,https://zoommer.ge/leptopebi/apple-macbook-air-15-3-inch-2025-mc6j4zp-a-m4-chip-10c-cpu-10c-gpu-24gb-512gb-ssd-p46755,5899
Apple Macbook Air 13 inch 2025 MC6V4ZP/A M4 Chip 10c CPU 10c GPU 24GB/512GB SSD Sky Blue,https://zoommer.ge/leptopebi/apple-macbook-air-13-inch-2025-mc6v4zp-a-m4-chip-10c-cpu-10c-gpu-24gb-512gb-ssd-s-p46751,5199
Apple Macbook Air 13 inch 2025 MC6C4ZP/A M4 Chip 10c CPU 10c GPU 24GB/512GB SSD Midnight,https://zoommer.ge/leptopebi/apple-macbook-air-13-inch-2025-mc6c4zp-a-m4-chip-10c-cpu-10c-gpu-24gb-512gb-ssd-m-p46749,4999
Apple Macbook Air 13 inch 2025 MC6A4ZP/A M4 Chip 10c CPU 10c GPU 24GB/512GB SSD Starlight,https://zoommer.ge/leptopebi/apple-macbook-air-13-inch-2025-mc6a4zp-a-m4-chip-10c-cpu-10c-gpu-24gb-512gb-ssd-s-p46748,4999
